iso3,year,life_expectancy,alcohol_lpa,tobacco_pct,phys_inactive_pct,pm25_ugm3,gdp_pc_usd
AFG,2010,60.702,0.012,30.2,26.4,49.6793770289443,560.621505463146
AFG,2015,62.27,0.009,26.6,29.1,73.4908176326415,565.569730408751
ALB,2010,78.414,5.9,28.3,21.2,20.8141104654758,4149.14469936847
ALB,2015,78.358,5.04,25.4,22.2,19.121557306579,3981.72662261867
AND,2010,84.197,10.78,35.7,31.8,12.375135954824,42746.8309526019
AND,2015,84.532,10.76,35.8,29.6,11.1088936507291,38654.9347203095
ARE,2010,81.886,1.96,13.3,56.9,42.4230172315555,43696.6712590463
ARE,2015,82.076,2.37,11.2,60.9,48.347575903809,43534.9972694631
ARG,2010,75.68,7.69,29.0,35.5,13.9279831494715,10260.1313108254
ARG,2015,76.6,8.57,26.6,36.6,14.6245514656634,13679.6264980954
ARM,2010,73.1731707317073,5.06,28.8,24.3,34.4470166846987,3041.34450723339
ARM,2015,74.8707317073171,4.98,27.2,25.1,38.1148586893988,3512.39350276709
AUS,2010,81.6951219512195,11.1,18.4,26.2,7.44515168368333,52144.6654705468
AUS,2015,82.4,10.39,15.9,25.8,7.18466162026884,56739.0265346593
AUT,2010,80.5804878048781,12.23,37.2,26.8,15.9865901400578,46611.1393420232
AUT,2015,81.190243902439,12.19,31.5,23.6,13.5999635409,43915.228020857
AZE,2010,70.309,1.81,24.0,22.5,23.1201756676417,5843.5337683582
AZE,2015,72.349,1.44,22.0,22.9,25.1867220505416,5500.50364628486
BDI,2010,57.088,6.17,17.3,15.4,29.441963936206,216.727705301976
BDI,2015,60.107,4.19,14.3,14.6,30.120746318795,280.966831311923
BEL,2010,80.1829268292683,11.33,29.0,37.0,16.9737148284819,44197.393671162
BEL,2015,80.9926829268293,11.24,28.0,31.8,13.3390429399775,40893.804537772
BEN,2010,58.387,6.61,10.9,17.1,44.8496835809048,973.244254931526
BEN,2015,59.123,8.1,8.6,17.2,66.6561284323416,1002.41886879614
BFA,2010,56.343,8.11,20.9,16.5,58.9472546424185,624.957252224766
BFA,2015,58.778,9.66,17.6,16.5,71.873244459767,630.124750752312
BGD,2010,68.009,0.004,44.2,20.8,42.1588186962047,757.385280361508
BGD,2015,70.543,0.005,38.9,20.5,64.1084295201163,1224.38647668165
BGR,2010,73.5121951219512,10.66,43.0,25.1,22.9310518892306,6853.94805511171
BGR,2015,74.6146341463415,11.44,41.4,28.0,20.7936901250081,7268.65445473873
BHR,2010,78.593,2.35,18.3,34.8,63.301530702615,21819.3291098099
BHR,2015,80.338,1.89,16.8,36.3,71.5594978371491,23734.0551143019
BHS,2010,73.449,4.33,11.5,37.6,17.4260245684517,27473.100430502
BHS,2015,73.805,4.36,11.4,37.4,19.1256311837319,30719.405417469
BIH,2010,76.827,5.74,41.1,17.1,35.2512805561859,4506.47828548389
BIH,2015,77.073,5.95,38.8,18.5,33.8055310132726,4662.25883724069
BLR,2010,70.4048780487805,14.99,36.4,16.3,20.9366064365372,6034.67885177216
BLR,2015,73.6243902439025,11.04,33.4,15.2,17.6059281150121,5967.05595058777
BLZ,2010,70.875,6.13,11.0,36.7,22.6250549970911,5451.13897172477
BLZ,2015,71.647,6.34,10.0,38.6,27.5566748212023,6154.49593498217
BOL,2010,66.003,4.66,20.7,21.9,30.5811442072612,1929.78373077158
BOL,2015,67.205,4.31,16.4,22.0,27.4574711709407,2996.01289811344
BRA,2010,73.779,8.63,17.4,35.0,14.9274921822751,11403.2821278747
BRA,2015,75.106,8.2,14.9,37.2,12.4042007642389,8936.19661712113
BRB,2010,75.488,8.27,8.1,39.1,21.1354483055595,18860.3833703309
BRB,2015,76.055,9.18,7.6,41.1,24.1787536225197,18954.2913724506
BRN,2010,74.82,0.28,16.5,28.9,6.28886801670278,34937.5555174068
BRN,2015,74.88,0.41,16.4,30.3,7.76801290951484,30625.128732694
BTN,2010,68.765,0.68,24.9,10.7,25.8636494610431,2435.5798056672
BTN,2015,70.797,0.32,21.9,10.1,37.4856911286561,2954.04081911097
BWA,2010,59.137,7.47,25.4,25.6,22.3400304839044,6215.73216077919
BWA,2015,63.215,7.08,22.1,24.0,22.0461450923733,6141.20394726616
CAN,2010,81.3221951219512,10.21,19.3,31.1,7.79521960926122,47560.6666009406
CAN,2015,81.8258536585366,9.92,15.8,33.5,7.11576183142395,43594.1941045394
CHE,2010,82.2463414634147,11.32,26.9,23.8,13.2556694848526,76531.3728182297
CHE,2015,82.8975609756098,10.69,26.4,21.4,11.7226082380351,83806.4476003837
CHL,2010,79.095,7.79,37.5,29.1,22.0329948919966,12632.8704724192
CHL,2015,80.008,7.75,33.6,32.7,24.2782298076617,13433.9202987032
CHN,2010,75.668,5.9,25.2,21.1,47.4765519945183,4629.24551710077
CHN,2015,76.975,7.35,24.4,22.1,50.832537964484,8175.33285077393
CIV,2010,55.282,2.82,13.7,22.3,41.595297944419,1553.54887048143
CIV,2015,58.281,2.57,11.4,20.8,61.954609777616,1814.71855088017
CMR,2010,56.965,12.55,10.4,21.6,39.0423790568413,1398.58702025047
CMR,2015,59.687,10.72,8.5,20.1,51.9499452409616,1415.00009710569
COD,2010,56.411,3.06,16.4,16.4,26.029435218018,314.53858629844
COD,2015,58.658,2.44,14.3,15.5,28.461870876218,467.9145805459
COG,2010,61.731,4.65,13.0,18.8,27.0414660021696,2946.55798067708
COG,2015,63.662,5.67,13.8,17.3,30.5591063026375,2439.35189403696
COL,2010,74.876,5.07,11.5,29.7,19.1642899222037,6398.2958447102
COL,2015,76.067,5.02,9.9,31.7,17.6079787372288,6248.51490534512
COM,2010,62.747,0.2,28.3,12.3,11.3687010835918,1386.57533553376
COM,2015,64.473,0.2,22.5,14.0,11.9089280291946,1329.3704808998
CPV,2010,72.507,5.63,15.1,25.9,24.9227591294962,3579.46006137809
CPV,2015,74.096,5.82,13.2,27.9,51.4204136901671,3415.06266730931
CRI,2010,79.354,4.0,12.7,45.5,17.6032020866019,8265.78820275899
CRI,2015,80.407,3.5,10.9,47.3,17.6636155108417,11714.7105980803
CUB,2010,77.876,5.5,27.1,45.6,18.9083050915655,5272.26755824835
CUB,2015,77.745,5.85,22.5,52.2,21.4005165459257,7727.91997207998
CYP,2010,80.632,9.12,38.6,42.3,18.5197054300908,31105.02734375
CYP,2015,81.464,8.12,37.1,41.6,16.9122147785325,23487.228515625
CZE,2010,77.4243902439025,13.33,32.5,23.2,20.907069022985,20160.4355077059
CZE,2015,78.5780487804878,13.22,31.4,23.2,17.8128111083862,17931.5987670768
DEU,2010,79.9878048780488,12.41,28.5,16.6,16.201690204245,42409.9356994694
DEU,2015,80.6414634146341,12.15,25.1,14.5,12.8253525089793,41911.0109851054
DNK,2010,79.1,10.39,25.7,19.3,13.0860050201498,58104.5445594981
DNK,2015,80.7024390243902,9.61,21.2,15.9,10.2267270069046,53094.0133607574
DOM,2010,72.039,6.84,14.3,31.6,17.5360829581378,5478.62470398954
DOM,2015,72.982,6.57,12.5,33.8,19.9571847572804,6800.95309395474
DZA,2010,74.144,0.44,21.7,25.8,24.3952993862667,4912.78585503672
DZA,2015,75.159,0.58,21.3,27.0,25.6188658260447,4685.05902729002
ECU,2010,75.188,4.12,12.2,21.6,21.7286460306471,4520.30959039763
ECU,2015,76.222,3.85,11.3,21.9,20.1729639726852,5976.1596805651
EGY,2010,69.078,0.2,21.6,32.0,76.4681376215846,2455.08194645282
EGY,2015,70.135,0.18,22.8,32.7,67.6489631610219,3306.98159414141
ESP,2010,81.6268292682927,9.49,31.7,32.6,12.4298524075247,30658.7422282912
ESP,2015,82.8317073170732,9.94,30.3,27.9,11.2555313002962,25982.4416197775
EST,2010,75.4292682926829,14.23,37.3,14.2,9.13653020501115,14663.7041018705
EST,2015,77.590243902439,15.06,33.3,14.9,7.18496063252666,17722.1557669523
ETH,2010,59.709,1.67,5.8,11.4,30.721062308711,330.619412798644
ETH,2015,63.592,2.52,5.5,10.4,31.4436090208599,621.845673808133
FIN,2010,79.8707317073171,10.74,30.2,17.8,6.99088092919804,46506.2919016566
FIN,2015,81.4804878048781,9.43,26.5,13.8,5.62500854589343,42560.3456767103
FJI,2010,66.778,2.85,30.4,19.0,12.4149926761009,3449.14452883369
FJI,2015,66.48,3.06,29.2,17.2,11.9373871022014,5097.53106864695
FRA,2010,81.6634146341463,12.25,34.4,32.1,13.7778502943804,40694.8211697025
FRA,2015,82.3219512195122,11.73,34.5,28.2,11.3442976642006,36702.4323733379
GBR,2010,80.4024390243902,10.95,24.1,29.0,12.4589114498692,39598.957119545
GBR,2015,80.9560975609756,10.52,19.3,24.5,10.4602728529493,44983.885522934
GEO,2010,71.732,14.84,32.4,18.7,18.4461840249862,3281.72930937343
GEO,2015,73.241,13.95,32.0,20.8,20.3304736500391,4086.6223465965
