iso3,year,life_expectancy,alcohol_lpa,tobacco_pct,phys_inactive_pct,pm25_ugm3,gdp_pc_usd
ABW,2010,74.297,,,,,24093.1401510626
ABW,2011,74.578,,,,,25712.3843015186
ABW,2012,74.841,,,,,25119.6655449838
ABW,2013,75.072,,,,,25813.5767274227
ABW,2014,75.261,,,,,26129.8390617693
ABW,2015,75.405,,,,,27458.2253310273
ABW,2016,75.54,,,,,27441.5296617282
ABW,2017,75.62,,,,,28440.051963759
ABW,2018,75.88,,,,,30082.1276448186
ABW,2019,76.019,,,,,31096.2050738676
AFG,2010,60.702,0.012,30.2,26.4,49.6793770289443,560.621505463146
AFG,2011,61.25,0.008,29.48,26.9,61.8170559083924,606.694676337726
AFG,2012,61.735,0.004,28.76,27.4,70.9223165078033,651.417134470046
AFG,2013,62.188,0.004,28.04,27.9,73.1318159038053,637.087099117099
AFG,2014,62.26,0.004,27.32,28.5,77.1437275538632,625.054941813938
AFG,2015,62.27,0.009,26.6,29.1,73.4908176326415,565.569730408751
AFG,2016,62.646,0.013,26.6,29.7,72.7659101386992,522.082215583898
AFG,2017,62.406,0.017,26.6,30.3,65.8623470043896,525.469770891619
AFG,2018,62.443,0.016,26.6,30.9,67.2271774798558,491.337221382603
AFG,2019,62.941,0.016,26.6,31.5,58.3308722306744,496.6025042585
AGO,2010,57.242,8.32,,19.5,24.17805671622,3597.34293216332
AGO,2011,58.093,8.59,,19.2,24.337940171596,4615.91059831778
AGO,2012,58.916,8.61,,19.0,24.4804929012722,5086.02740086376
AGO,2013,59.705,8.74,,18.7,24.5386584342125,5057.74787833163
AGO,2014,60.396,8.32,,18.5,23.9455836380328,5005.9997412707
AGO,2015,61.042,7.76,,18.3,25.0021502571501,3213.90261080059
AGO,2016,61.619,7.01,,18.1,25.1807008149163,1807.95294072643
AGO,2017,62.122,6.67,,17.9,23.9591508117097,2437.25971190821
AGO,2018,62.622,6.17,,17.8,24.2650153621146,2538.59139143371
AGO,2019,63.051,6.17,,17.6,24.5988113283925,2189.85571407618
ALB,2010,78.414,5.9,28.3,21.2,20.8141104654758,4149.14469936847
ALB,2011,78.303,5.58,27.72,21.4,22.7999042481871,4465.70914328865
ALB,2012,78.084,5.37,27.14,21.6,20.9627204112539,4222.3470988913
ALB,2013,77.995,5.04,26.56,21.8,19.4075322522058,4420.23461988353
