iso3,year,alcohol_lpa
AFG,2010,0.012
AFG,2011,0.008
AFG,2012,0.004
AFG,2013,0.004
AFG,2014,0.004
AFG,2015,0.009
AFG,2016,0.013
AFG,2017,0.017
AFG,2018,0.016
AFG,2019,0.016
AGO,2010,8.32
AGO,2011,8.59
AGO,2012,8.61
AGO,2013,8.74
AGO,2014,8.32
AGO,2015,7.76
AGO,2016,7.01
AGO,2017,6.67
AGO,2018,6.17
AGO,2019,6.17
ALB,2010,5.9
ALB,2011,5.58
ALB,2012,5.37
ALB,2013,5.04
ALB,2014,5.0
ALB,2015,5.04
ALB,2016,5.13
ALB,2017,5.13
ALB,2018,5.11
ALB,2019,5.11
AND,2010,10.78
AND,2011,10.47
AND,2012,10.32
AND,2013,10.14
AND,2014,10.38
AND,2015,10.76
AND,2016,11.19
AND,2017,11.1
AND,2018,11.05
AND,2019,11.05
ARE,2010,1.96
ARE,2011,1.99
ARE,2012,2.04
ARE,2013,2.13
ARE,2014,2.25
ARE,2015,2.37
ARE,2016,2.43
ARE,2017,2.43
ARE,2018,2.37
ARE,2019,2.37
ARG,2010,7.69
ARG,2011,8.11
ARG,2012,8.4
ARG,2013,8.48
ARG,2014,8.63
ARG,2015,8.57
ARG,2016,8.6
ARG,2017,8.34
ARG,2018,8.04
ARG,2019,8.04
ARM,2010,5.06
ARM,2011,5.03
ARM,2012,4.91
ARM,2013,4.96
ARM,2014,4.99
ARM,2015,4.98
ARM,2016,4.88
ARM,2017,4.85
ARM,2018,4.98
ARM,2019,4.98
ATG,2010,5.74
ATG,2011,5.91
ATG,2012,6.44
ATG,2013,7.0
ATG,2014,7.24
ATG,2015,7.39
ATG,2016,7.73
ATG,2017,8.26
ATG,2018,8.51
ATG,2019,8.51
AUS,2010,11.1
AUS,2011,10.9
AUS,2012,10.72
AUS,2013,10.58
AUS,2014,10.46
AUS,2015,10.39
AUS,2016,10.25
AUS,2017,10.19
AUS,2018,10.09
AUS,2019,10.09
AUT,2010,12.23
AUT,2011,12.35
AUT,2012,12.34
AUT,2013,12.49
AUT,2014,12.33
AUT,2015,12.19
AUT,2016,11.93
AUT,2017,11.92
AUT,2018,11.97
AUT,2019,11.97
AZE,2010,1.81
AZE,2011,1.78
AZE,2012,1.51
AZE,2013,1.41
AZE,2014,1.4
AZE,2015,1.44
AZE,2016,1.46
AZE,2017,1.59
AZE,2018,1.97
AZE,2019,1.97
BDI,2010,6.17
BDI,2011,5.24
BDI,2012,4.66
BDI,2013,4.08
BDI,2014,4.34
BDI,2015,4.19
BDI,2016,4.19
BDI,2017,4.15
BDI,2018,4.13
BDI,2019,4.13
BEL,2010,11.33
BEL,2011,11.32
BEL,2012,11.33
BEL,2013,11.47
BEL,2014,11.56
BEL,2015,11.24
BEL,2016,10.79
BEL,2017,10.38
BEL,2018,10.28
BEL,2019,10.28
BEN,2010,6.61
BEN,2011,8.65
BEN,2012,8.82
BEN,2013,8.67
BEN,2014,8.45
BEN,2015,8.1
BEN,2016,7.9
BEN,2017,8.09
BEN,2018,8.35
BEN,2019,8.35
BFA,2010,8.11
BFA,2011,8.14
BFA,2012,8.16
BFA,2013,8.69
BFA,2014,9.16
BFA,2015,9.66
BFA,2016,9.72
BFA,2017,9.76
BFA,2018,9.81
BFA,2019,9.81
BGD,2010,0.004
BGD,2011,0.004
BGD,2012,0.005
BGD,2013,0.005
BGD,2014,0.005
BGD,2015,0.005
BGD,2016,0.005
BGD,2017,0.005
BGD,2018,0.005
BGD,2019,0.005
BGR,2010,10.66
BGR,2011,10.87
BGR,2012,11.03
BGR,2013,11.16
BGR,2014,11.18
BGR,2015,11.44
BGR,2016,11.65
BGR,2017,11.85
BGR,2018,11.92
BGR,2019,11.92
BHR,2010,2.35
BHR,2011,2.27
BHR,2012,2.14
BHR,2013,2.08
BHR,2014,2.0
BHR,2015,1.89
BHR,2016,1.77
BHR,2017,1.65
BHR,2018,1.58
BHR,2019,1.58
BHS,2010,4.33
BHS,2011,4.36
BHS,2012,4.37
BHS,2013,4.36
BHS,2014,4.35
BHS,2015,4.36
BHS,2016,4.37
BHS,2017,4.38
BHS,2018,4.39
BHS,2019,4.39
BIH,2010,5.74
BIH,2011,5.78
BIH,2012,5.82
BIH,2013,5.81
BIH,2014,5.83
BIH,2015,5.95
BIH,2016,6.15
BIH,2017,6.33
BIH,2018,6.38
BIH,2019,6.38
BLR,2010,14.99
BLR,2011,14.82
BLR,2012,14.22
BLR,2013,13.18
BLR,2014,11.96
BLR,2015,11.04
BLR,2016,10.55
BLR,2017,10.64
BLR,2018,10.9
BLR,2019,10.9
BLZ,2010,6.13
BLZ,2011,6.11
BLZ,2012,6.15
BLZ,2013,6.27
BLZ,2014,6.37
BLZ,2015,6.34
BLZ,2016,6.15
BLZ,2017,5.92
BLZ,2018,5.71
BLZ,2019,5.71
BOL,2010,4.66
BOL,2011,4.52
BOL,2012,4.45
BOL,2013,4.4
BOL,2014,4.35
BOL,2015,4.31
BOL,2016,4.26
BOL,2017,4.19
BOL,2018,4.1
BOL,2019,4.1
BRA,2010,8.63
BRA,2011,8.69
BRA,2012,8.57
BRA,2013,8.5
BRA,2014,8.34
BRA,2015,8.2
BRA,2016,8.0
BRA,2017,7.79
BRA,2018,7.67
BRA,2019,7.67
BRB,2010,8.27
BRB,2011,8.35
BRB,2012,8.48
BRB,2013,8.64
BRB,2014,8.85
BRB,2015,9.18
BRB,2016,9.4
BRB,2017,9.49
BRB,2018,9.47
BRB,2019,9.47
BRN,2010,0.28
BRN,2011,0.42
BRN,2012,0.51
BRN,2013,0.47
BRN,2014,0.41
BRN,2015,0.41
BRN,2016,0.41
BRN,2017,0.41
BRN,2018,0.41
BRN,2019,0.41
BTN,2010,0.68
BTN,2011,0.83
BTN,2012,0.9
BTN,2013,0.85
BTN,2014,0.57
BTN,2015,0.32
BTN,2016,0.18
BTN,2017,0.2
BTN,2018,0.2
BTN,2019,0.2
BWA,2010,7.47
BWA,2011,7.86
BWA,2012,7.58
BWA,2013,7.15
BWA,2014,7.01
BWA,2015,7.08
BWA,2016,7.32
BWA,2017,7.61
BWA,2018,8.16
BWA,2019,8.16
CAF,2010,2.45
CAF,2011,2.54
CAF,2012,2.29
CAF,2013,2.04
CAF,2014,1.83
CAF,2015,1.94
CAF,2016,2.01
CAF,2017,2.01
CAF,2018,1.99
CAF,2019,1.99
CAN,2010,10.21
CAN,2011,10.17
CAN,2012,10.1
CAN,2013,10.05
CAN,2014,9.95
CAN,2015,9.92
CAN,2016,9.92
CAN,2017,9.95
CAN,2018,9.9
CAN,2019,9.9
CHE,2010,11.32
CHE,2011,11.21
CHE,2012,11.1
CHE,2013,10.96
CHE,2014,10.87
CHE,2015,10.69
CHE,2016,10.53
CHE,2017,10.36
CHE,2018,10.4
CHE,2019,10.4
CHL,2010,7.79
CHL,2011,8.01
CHL,2012,7.9
CHL,2013,8.19
CHL,2014,8.04
CHL,2015,7.75
CHL,2016,7.02
CHL,2017,6.5
CHL,2018,6.75
CHL,2019,6.75
CHN,2010,5.9
CHN,2011,6.5
CHN,2012,6.92
CHN,2013,7.16
CHN,2014,7.29
CHN,2015,7.35
CHN,2016,7.18
CHN,2017,6.53
CHN,2018,5.73
CHN,2019,5.73
CIV,2010,2.82
CIV,2011,2.12
CIV,2012,2.15
CIV,2013,2.26
CIV,2014,2.44
CIV,2015,2.57
CIV,2016,2.65
CIV,2017,2.71
CIV,2018,2.8
CIV,2019,2.8
CMR,2010,12.55
CMR,2011,12.78
CMR,2012,12.98
CMR,2013,12.48
CMR,2014,11.72
CMR,2015,10.72
CMR,2016,10.41
CMR,2017,10.16
CMR,2018,10.1
CMR,2019,10.1
COD,2010,3.06
COD,2011,2.4
COD,2012,2.55
