iso3,year,gdp_pc_usd
ABW,2010,24093.1401510626
ABW,2011,25712.3843015186
ABW,2012,25119.6655449838
ABW,2013,25813.5767274227
ABW,2014,26129.8390617693
ABW,2015,27458.2253310273
ABW,2016,27441.5296617282
ABW,2017,28440.051963759
ABW,2018,30082.1276448186
ABW,2019,31096.2050738676
AFG,2010,560.621505463146
AFG,2011,606.694676337726
AFG,2012,651.417134470046
AFG,2013,637.087099117099
AFG,2014,625.054941813938
AFG,2015,565.569730408751
AFG,2016,522.082215583898
AFG,2017,525.469770891619
AFG,2018,491.337221382603
AFG,2019,496.6025042585
AGO,2010,3597.34293216332
AGO,2011,4615.91059831778
AGO,2012,5086.02740086376
AGO,2013,5057.74787833163
AGO,2014,5005.9997412707
AGO,2015,3213.90261080059
AGO,2016,1807.95294072643
AGO,2017,2437.25971190821
AGO,2018,2538.59139143371
AGO,2019,2189.85571407618
ALB,2010,4149.14469936847
ALB,2011,4465.70914328865
ALB,2012,4222.3470988913
ALB,2013,4420.23461988353
ALB,2014,4602.23051443229
ALB,2015,3981.72662261867
ALB,2016,4168.37544462548
ALB,2017,4614.0479692596
ALB,2018,5365.48880180298
ALB,2019,5460.4305086932
AND,2010,42746.8309526019
AND,2011,46657.1561173756
AND,2012,41500.5435791686
AND,2013,42470.3161159692
AND,2014,44369.659691379
AND,2015,38654.9347203095
AND,2016,40129.8192007698
AND,2017,40672.9943348258
AND,2018,42819.7745797624
AND,2019,41257.8045846483
ARE,2010,43696.6712590463
ARE,2011,50789.050540755
ARE,2012,52034.4762476071
ARE,2013,52023.5170959441
ARE,2014,51381.4069901746
ARE,2015,43534.9972694631
ARE,2016,41326.4018161569
ARE,2017,42340.5917160161
ARE,2018,45689.8570049401
ARE,2019,44251.4541398817
ARG,2010,10260.1313108254
ARG,2011,12704.2831819684
ARG,2012,12949.717486654
ARG,2013,12963.675773326
ARG,2014,12233.1444119186
ARG,2015,13679.6264980954
ARG,2016,12699.9623137756
ARG,2017,14532.5009308511
ARG,2018,11752.7998922979
ARG,2019,9955.97478680428
ARM,2010,3041.34450723339
ARM,2011,3349.55309771906
ARM,2012,3511.56399687426
ARM,2013,3680.16692158886
ARM,2014,3852.11800610384
ARM,2015,3512.39350276709
ARM,2016,3524.42476874707
ARM,2017,3869.05373867752
ARM,2018,4196.00562301769
ARM,2019,4597.22887399548
ASM,2010,10375.1720141957
ASM,2011,10383.459331451
ASM,2012,11745.4899153958
ASM,2013,11813.5022034589
ASM,2014,12026.3344929488
ASM,2015,12727.4102651386
ASM,2016,12843.3342903627
ASM,2017,11863.6839452565
ASM,2018,12552.0546868861
ASM,2019,12886.1359517218
ATG,2010,15217.3950790922
ATG,2011,14911.7275084471
ATG,2012,15639.8078114787
ATG,2013,15051.5113587425
ATG,2014,15532.1062063584
ATG,2015,16077.6340769406
ATG,2016,16556.8551801588
ATG,2017,16965.7288273816
ATG,2018,18273.4270684912
ATG,2019,18896.3721832248
AUS,2010,52144.6654705468
AUS,2011,62605.600458306
AUS,2012,68072.8732340801
AUS,2013,68190.7010035651
AUS,2014,62544.0873773726
AUS,2015,56739.0265346593
AUS,2016,49888.0410842736
AUS,2017,53901.7145392154
AUS,2018,57196.4220783778
AUS,2019,54972.7017885437
AUT,2010,46611.1393420232
AUT,2011,51116.8953522042
AUT,2012,48250.4059142637
AUT,2013,50305.3545774973
AUT,2014,51314.9722616322
AUT,2015,43915.228020857
AUT,2016,45061.4993920192
AUT,2017,47163.7425775142
AUT,2018,51194.0749841299
AUT,2019,49885.9947355204
AZE,2010,5843.5337683582
AZE,2011,7189.81869211976
AZE,2012,7495.86527658099
AZE,2013,7875.34536661549
AZE,2014,7890.84028062087
AZE,2015,5500.50364628486
AZE,2016,3880.6852276838
AZE,2017,4147.1981423222
AZE,2018,4739.7943123408
AZE,2019,4805.75371765917
BDI,2010,216.727705301976
BDI,2011,230.070577369084
BDI,2012,231.688496393569
BDI,2013,234.843045388828
BDI,2014,250.540481111877
BDI,2015,280.966831311923
BDI,2016,235.286205393908
BDI,2017,236.694472592753
BDI,2018,224.89939239264
BDI,2019,210.236494521532
BEL,2010,44197.393671162
BEL,2011,47760.8298776546
BEL,2012,44874.1709182123
BEL,2013,46964.5946777056
BEL,2014,47995.7786961339
BEL,2015,40893.804537772
BEL,2016,41854.5498296444
BEL,2017,44035.3239358548
BEL,2018,47487.2100392561
BEL,2019,46716.6227467964
BEN,2010,973.244254931526
BEN,2011,1059.41358852588
BEN,2012,1071.5258366283
BEN,2013,1168.92699279226
BEN,2014,1204.39918670094
BEN,2015,1002.41886879614
BEN,2016,1010.5338961993
BEN,2017,1054.97408066814
BEN,2018,1151.7409703472
BEN,2019,1130.82135339795
BFA,2010,624.957252224766
BFA,2011,725.024767725475
BFA,2012,731.470138867833
BFA,2013,759.762065168498
BFA,2014,764.861675106225
BFA,2015,630.124750752312
BFA,2016,663.742364842886
BFA,2017,709.091535894695
BFA,2018,777.465618514048
BFA,2019,764.853077774946
BGD,2010,757.385280361508
BGD,2011,837.336944695647
BGD,2012,859.680536375497
BGD,2013,958.262989798283
BGD,2014,1094.46199702838
BGD,2015,1224.38647668165
BGD,2016,1649.28380858601
BGD,2017,1811.08221668646
BGD,2018,1965.24372731467
BGD,2019,2129.79896954606
BGR,2010,6853.94805511171
BGR,2011,7849.58061302818
BGR,2012,7431.95789508871
BGR,2013,7795.98092108928
BGR,2014,8069.60005667684
BGR,2015,7268.65445473873
BGR,2016,7822.49923292968
BGR,2017,8696.68930427924
BGR,2018,9872.38507789106
BGR,2019,10372.8044341114
BHR,2010,21819.3291098099
BHR,2011,25032.7867743333
BHR,2012,26438.6733230428
BHR,2013,26989.7601148469
BHR,2014,26451.7965647453
