iso3,year,life_expectancy
ABW,2010,74.297
ABW,2011,74.578
ABW,2012,74.841
ABW,2013,75.072
ABW,2014,75.261
ABW,2015,75.405
ABW,2016,75.54
ABW,2017,75.62
ABW,2018,75.88
ABW,2019,76.019
AFG,2010,60.702
AFG,2011,61.25
AFG,2012,61.735
AFG,2013,62.188
AFG,2014,62.26
AFG,2015,62.27
AFG,2016,62.646
AFG,2017,62.406
AFG,2018,62.443
AFG,2019,62.941
AGO,2010,57.242
AGO,2011,58.093
AGO,2012,58.916
AGO,2013,59.705
AGO,2014,60.396
AGO,2015,61.042
AGO,2016,61.619
AGO,2017,62.122
AGO,2018,62.622
AGO,2019,63.051
ALB,2010,78.414
ALB,2011,78.303
ALB,2012,78.084
ALB,2013,77.995
ALB,2014,78.029
ALB,2015,78.358
ALB,2016,78.643
ALB,2017,78.9
ALB,2018,79.238
ALB,2019,79.467
AND,2010,84.197
AND,2011,84.296
AND,2012,84.334
AND,2013,84.406
AND,2014,84.485
AND,2015,84.532
AND,2016,84.489
AND,2017,84.359
AND,2018,84.242
AND,2019,84.098
ARE,2010,81.886
ARE,2011,81.898
ARE,2012,81.913
ARE,2013,81.95
ARE,2014,81.99
ARE,2015,82.076
ARE,2016,82.195
ARE,2017,82.388
ARE,2018,82.449
ARE,2019,82.596
ARG,2010,75.68
ARG,2011,76.1
ARG,2012,75.802
ARG,2013,75.829
ARG,2014,76.268
ARG,2015,76.6
ARG,2016,76.105
ARG,2017,76.543
ARG,2018,76.77
ARG,2019,76.847
ARM,2010,73.1731707317073
ARM,2011,73.8170731707317
ARM,2012,74.119512195122
ARM,2013,74.6219512195122
ARM,2014,74.8731707317073
ARM,2015,74.8707317073171
ARM,2016,74.8682926829268
ARM,2017,75.2170731707317
ARM,2018,75.619512195122
ARM,2019,76.2219512195122
ASM,2010,72.587
ASM,2011,72.662
ASM,2012,72.709
ASM,2013,72.769
ASM,2014,72.687
ASM,2015,72.654
ASM,2016,72.64
ASM,2017,72.801
ASM,2018,72.794
ASM,2019,72.751
ATG,2010,76.701
ATG,2011,77.023
ATG,2012,77.1
ATG,2013,77.05
ATG,2014,76.912
ATG,2015,76.892
ATG,2016,76.968
ATG,2017,77.03
ATG,2018,77.132
ATG,2019,77.168
AUS,2010,81.6951219512195
AUS,2011,81.8951219512195
AUS,2012,82.0463414634146
AUS,2013,82.1487804878049
AUS,2014,82.3
AUS,2015,82.4
AUS,2016,82.4487804878049
AUS,2017,82.5
AUS,2018,82.7487804878049
AUS,2019,82.9
AUT,2010,80.5804878048781
AUT,2011,80.9829268292683
AUT,2012,80.9365853658537
AUT,2013,81.1365853658537
AUT,2014,81.490243902439
AUT,2015,81.190243902439
AUT,2016,81.6414634146342
AUT,2017,81.6439024390244
AUT,2018,81.6926829268293
AUT,2019,81.8951219512195
AZE,2010,70.309
AZE,2011,70.565
AZE,2012,71.08
AZE,2013,71.485
AZE,2014,71.93
AZE,2015,72.349
AZE,2016,72.568
AZE,2017,72.694
AZE,2018,73.016
AZE,2019,73.29
BDI,2010,57.088
BDI,2011,57.804
BDI,2012,58.501
BDI,2013,59.179
BDI,2014,59.764
BDI,2015,60.107
BDI,2016,60.789
BDI,2017,61.345
BDI,2018,61.806
BDI,2019,62.18
BEL,2010,80.1829268292683
