iso3,year,phys_inactive_pct
AFG,2010,26.4
AFG,2011,26.9
AFG,2012,27.4
AFG,2013,27.9
AFG,2014,28.5
AFG,2015,29.1
AFG,2016,29.7
AFG,2017,30.3
AFG,2018,30.9
AFG,2019,31.5
AGO,2010,19.5
AGO,2011,19.2
AGO,2012,19.0
AGO,2013,18.7
AGO,2014,18.5
AGO,2015,18.3
AGO,2016,18.1
AGO,2017,17.9
AGO,2018,17.8
AGO,2019,17.6
ALB,2010,21.2
ALB,2011,21.4
ALB,2012,21.6
ALB,2013,21.8
ALB,2014,22.0
ALB,2015,22.2
ALB,2016,22.5
ALB,2017,22.7
ALB,2018,23.0
ALB,2019,23.3
AND,2010,31.8
AND,2011,31.4
AND,2012,30.9
AND,2013,30.5
AND,2014,30.1
AND,2015,29.6
AND,2016,29.2
AND,2017,28.8
AND,2018,28.5
AND,2019,28.1
ARE,2010,56.9
ARE,2011,57.7
ARE,2012,58.5
ARE,2013,59.3
ARE,2014,60.1
ARE,2015,60.9
ARE,2016,61.7
ARE,2017,62.5
ARE,2018,63.2
ARE,2019,63.9
ARG,2010,35.5
ARG,2011,35.7
ARG,2012,35.9
ARG,2013,36.1
ARG,2014,36.3
ARG,2015,36.6
ARG,2016,36.8
ARG,2017,37.1
ARG,2018,37.4
ARG,2019,37.6
ARM,2010,24.3
ARM,2011,24.4
ARM,2012,24.6
ARM,2013,24.7
ARM,2014,24.9
ARM,2015,25.1
ARM,2016,25.3
ARM,2017,25.5
ARM,2018,25.7
ARM,2019,25.9
ATG,2010,33.5
ATG,2011,33.9
ATG,2012,34.2
ATG,2013,34.6
ATG,2014,35.0
ATG,2015,35.3
ATG,2016,35.7
ATG,2017,36.1
ATG,2018,36.5
ATG,2019,36.9
AUS,2010,26.2
AUS,2011,26.2
AUS,2012,26.1
AUS,2013,26.0
AUS,2014,25.9
AUS,2015,25.8
AUS,2016,25.8
AUS,2017,25.7
AUS,2018,25.6
AUS,2019,25.6
AUT,2010,26.8
AUT,2011,26.2
AUT,2012,25.5
AUT,2013,24.9
AUT,2014,24.2
AUT,2015,23.6
AUT,2016,23.0
AUT,2017,22.4
AUT,2018,21.9
AUT,2019,21.3
AZE,2010,22.5
AZE,2011,22.6
AZE,2012,22.6
AZE,2013,22.7
AZE,2014,22.8
AZE,2015,22.9
AZE,2016,23.1
AZE,2017,23.2
AZE,2018,23.3
AZE,2019,23.5
BDI,2010,15.4
BDI,2011,15.2
BDI,2012,15.0
BDI,2013,14.9
BDI,2014,14.7
BDI,2015,14.6
BDI,2016,14.5
BDI,2017,14.4
BDI,2018,14.4
BDI,2019,14.3
BEL,2010,37.0
BEL,2011,35.9
BEL,2012,34.8
BEL,2013,33.8
BEL,2014,32.8
BEL,2015,31.8
BEL,2016,30.8
BEL,2017,29.9
BEL,2018,28.9
BEL,2019,28.0
BEN,2010,17.1
BEN,2011,17.1
BEN,2012,17.1
BEN,2013,17.1
BEN,2014,17.1
BEN,2015,17.2
BEN,2016,17.3
BEN,2017,17.3
BEN,2018,17.4
BEN,2019,17.6
BFA,2010,16.5
BFA,2011,16.5
BFA,2012,16.5
BFA,2013,16.5
BFA,2014,16.5
BFA,2015,16.5
BFA,2016,16.5
BFA,2017,16.6
BFA,2018,16.6
BFA,2019,16.7
BGD,2010,20.8
BGD,2011,20.7
BGD,2012,20.6
BGD,2013,20.6
