iso3,year,tobacco_pct
AFG,2010,30.2
AFG,2015,26.6
ALB,2010,28.3
ALB,2015,25.4
AND,2010,35.7
AND,2015,35.8
ARE,2010,13.3
ARE,2015,11.2
ARG,2010,29.0
ARG,2015,26.6
ARM,2010,28.8
ARM,2015,27.2
AUS,2010,18.4
AUS,2015,15.9
AUT,2010,37.2
AUT,2015,31.5
AZE,2010,24.0
AZE,2015,22.0
BDI,2010,17.3
BDI,2015,14.3
BEL,2010,29.0
BEL,2015,28.0
BEN,2010,10.9
BEN,2015,8.6
BFA,2010,20.9
BFA,2015,17.6
BGD,2010,44.2
BGD,2015,38.9
BGR,2010,43.0
BGR,2015,41.4
BHR,2010,18.3
BHR,2015,16.8
BHS,2010,11.5
BHS,2015,11.4
BIH,2010,41.1
BIH,2015,38.8
BLR,2010,36.4
BLR,2015,33.4
BLZ,2010,11.0
BLZ,2015,10.0
BOL,2010,20.7
BOL,2015,16.4
BRA,2010,17.4
BRA,2015,14.9
BRB,2010,8.1
BRB,2015,7.6
BRN,2010,16.5
BRN,2015,16.4
BTN,2010,24.9
BTN,2015,21.9
BWA,2010,25.4
BWA,2015,22.1
CAN,2010,19.3
CAN,2015,15.8
CHE,2010,26.9
CHE,2015,26.4
CHL,2010,37.5
CHL,2015,33.6
CHN,2010,25.2
CHN,2015,24.4
CIV,2010,13.7
CIV,2015,11.4
CMR,2010,10.4
CMR,2015,8.5
COD,2010,16.4
COD,2015,14.3
COG,2010,13.0
COG,2015,13.8
COK,2010,32.9
COK,2015,30.5
COL,2010,11.5
COL,2015,9.9
COM,2010,28.3
COM,2015,22.5
CPV,2010,15.1
CPV,2015,13.2
CRI,2010,12.7
CRI,2015,10.9
CUB,2010,27.1
CUB,2015,22.5
CYP,2010,38.6
CYP,2015,37.1
CZE,2010,32.5
CZE,2015,31.4
DEU,2010,28.5
DEU,2015,25.1
DNK,2010,25.7
DNK,2015,21.2
DOM,2010,14.3
DOM,2015,12.5
DZA,2010,21.7
DZA,2015,21.3
ECU,2010,12.2
ECU,2015,11.3
EGY,2010,21.6
EGY,2015,22.8
ESP,2010,31.7
ESP,2015,30.3
EST,2010,37.3
EST,2015,33.3
ETH,2010,5.8
ETH,2015,5.5
FIN,2010,30.2
FIN,2015,26.5
FJI,2010,30.4
FJI,2015,29.2
FRA,2010,34.4
FRA,2015,34.5
GBR,2010,24.1
GBR,2015,19.3
GEO,2010,32.4
GEO,2015,32.0
GHA,2010,5.1
GHA,2015,4.3
GMB,2010,16.0
GMB,2015,13.4
GNB,2010,13.4
GNB,2015,10.9
GRC,2010,43.2
GRC,2015,38.4
GTM,2010,13.0
GTM,2015,12.5
GUY,2010,19.4
GUY,2015,15.3
HND,2010,14.6
HND,2015,13.5
HRV,2010,35.5
HRV,2015,36.1
HTI,2010,9.6
HTI,2015,8.9
HUN,2010,34.9
HUN,2015,33.8
IDN,2010,36.2
IDN,2015,37.1
IND,2010,38.3
IND,2015,31.5
IRL,2010,26.8
IRL,2015,23.4
IRN,2010,17.3
IRN,2015,15.5
IRQ,2010,20.1
IRQ,2015,19.5
ISL,2010,18.3
ISL,2015,13.8
ISR,2010,25.7
ISR,2015,23.2
ITA,2010,24.4
ITA,2015,23.5
JAM,2010,13.0
JAM,2015,11.5
JOR,2010,33.1
JOR,2015,34.1
JPN,2010,25.9
JPN,2015,22.8
KAZ,2010,28.4
KAZ,2015,25.7
KEN,2010,14.7
KEN,2015,12.8
KGZ,2010,28.7
KGZ,2015,28.0
KHM,2010,28.0
KHM,2015,22.7
KIR,2010,53.4
KIR,2015,47.1
KOR,2010,27.0
KOR,2015,23.8
KWT,2010,20.1
KWT,2015,19.9
LAO,2010,38.0
LAO,2015,32.8
LBN,2010,35.1
LBN,2015,34.7
LBR,2010,12.3
LBR,2015,10.3
LCA,2010,16.8
LCA,2015,15.4
LKA,2010,24.3
LKA,2015,22.1
LSO,2010,27.5
LSO,2015,26.0
LTU,2010,37.1
LTU,2015,34.6
LUX,2010,26.4
LUX,2015,24.9
LVA,2010,39.6
LVA,2015,37.1
MAR,2010,16.5
MAR,2015,14.9
MDA,2010,27.0
MDA,2015,28.1
MDG,2010,37.0
MDG,2015,32.1
MDV,2010,33.7
MDV,2015,30.3
MEX,2010,18.7
MEX,2015,17.0
MHL,2010,28.5
MHL,2015,29.1
MLI,2010,11.8
MLI,2015,10.0
MLT,2010,28.8
MLT,2015,26.8
MMR,2010,54.8
MMR,2015,50.2
MNE,2010,35.2
MNE,2015,33.7
MNG,2010,31.3
MNG,2015,30.5
MRT,2010,14.8
MRT,2015,12.3
MUS,2010,23.0
MUS,2015,22.1
MWI,2010,15.8
MWI,2015,12.9
MYS,2010,26.0
MYS,2015,24.0
NAM,2010,19.4
NAM,2015,16.9
NER,2010,8.6
NER,2015,8.1
NGA,2010,6.1
NGA,2015,4.7
NLD,2010,27.7
NLD,2015,24.7
NOR,2010,26.6
NOR,2015,20.5
NPL,2010,44.0
NPL,2015,36.3
NRU,2010,55.6
NRU,2015,52.6
NZL,2010,20.1
NZL,2015,16.4
OMN,2010,7.9
OMN,2015,8.1
PAK,2010,28.0
PAK,2015,23.7
PAN,2010,8.8
PAN,2015,7.1
PER,2010,16.7
PER,2015,11.7
PHL,2010,27.7
PHL,2015,24.4
PLW,2010,21.5
PLW,2015,19.6
PNG,2010,46.6
PNG,2015,43.5
POL,2010,30.9
POL,2015,27.6
PRK,2010,22.7
PRK,2015,19.8
PRT,2010,25.5
PRT,2015,25.5
PRY,2010,18.4
PRY,2015,14.6
QAT,2010,12.5
QAT,2015,12.5
ROU,2010,33.6
ROU,2015,32.0
RUS,2010,30.8
RUS,2015,30.0
RWA,2010,18.6
RWA,2015,16.6
SAU,2010,14.3
SAU,2015,14.4
SEN,2010,10.2
SEN,2015,8.4
SGP,2010,16.6
SGP,2015,16.6
SLB,2010,40.0
SLB,2015,38.3
SLE,2010,23.9
SLE,2015,18.4
SLV,2010,11.9
SLV,2015,10.5
SRB,2010,42.4
SRB,2015,41.1
STP,2010,7.3
STP,2015,7.4
SVK,2010,31.8
SVK,2015,31.9
SVN,2010,23.0
SVN,2015,21.8
SWE,2010,33.4
SWE,2015,28.3
SWZ,2010,10.8
SWZ,2015,10.2
SYC,2010,24.9
SYC,2015,22.7
TCD,2010,9.0
TCD,2015,8.3
TGO,2010,10.2
TGO,2015,8.3
THA,2010,22.6
THA,2015,21.1
TKM,2010,9.3
TKM,2015,7.5
TLS,2010,46.2
TLS,2015,43.0
TON,2010,32.3
TON,2015,31.8
TUN,2010,25.0
TUN,2015,23.0
TUR,2010,32.0
TUR,2015,31.3
TUV,2010,40.7
TUV,2015,37.6
TZA,2010,16.8
TZA,2015,13.1
UGA,2010,14.6
UGA,2015,11.0
UKR,2010,31.3
UKR,2015,28.5
URY,2010,27.6
URY,2015,24.4
USA,2010,27.9
USA,2015,26.3
UZB,2010,21.9
UZB,2015,19.6
VNM,2010,26.6
VNM,2015,24.9
WSM,2010,31.2
WSM,2015,27.1
YEM,2010,24.8
YEM,2015,23.3
ZAF,2010,22.0
ZAF,2015,21.5
ZMB,2010,17.0
ZMB,2015,15.8
ZWE,2010,15.7
ZWE,2015,13.6
